日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報
2017/04/28 0:00:28,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 0:00:33,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 0:02:02,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 0:02:12,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,0
2017/04/28 0:02:12,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 0:02:34,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 0:03:51,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:04:35,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:04:56,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:05:20,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 0:08:20,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:08:42,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 0:08:53,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 0:09:13,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:09:14,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 0:11:16,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:11:37,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:12:02,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 0:15:00,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:15:10,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 0:15:21,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 0:15:40,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:15:55,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 0:17:14,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:17:35,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:18:06,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 0:21:49,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:21:59,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 0:22:09,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 0:22:28,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:22:44,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 0:22:56,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,0
2017/04/28 0:23:17,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,1,9,1
2017/04/28 0:23:59,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
