date,recv,seq,name,value
2017-05-17 07:13:11.164664,2017-05-17 07:13:11.214576,3332,sensor06-bend,0
2017-05-17 07:13:13.970112,2017-05-17 07:13:13.980203,3333,sensor06-bend,1
2017-05-17 07:14:25.431840,2017-05-17 07:14:25.448960,3336,sensor06-bend,0
2017-05-17 07:14:28.137317,2017-05-17 07:14:28.167712,3337,sensor06-bend,1
2017-05-17 09:06:55.668901,2017-05-17 09:06:55.703813,3342,sensor06-bend,0
2017-05-17 09:06:58.476201,2017-05-17 09:06:58.531941,3343,sensor06-bend,1
2017-05-17 09:11:37.932243,2017-05-17 09:11:37.938390,3348,sensor06-bend,0
2017-05-17 09:11:40.639245,2017-05-17 09:11:40.657098,3349,sensor06-bend,1
2017-05-17 09:12:52.406959,2017-05-17 09:12:52.422775,3352,sensor06-bend,0
2017-05-17 09:12:55.114104,2017-05-17 09:12:55.141526,3353,sensor06-bend,1
2017-05-17 09:14:48.280547,2017-05-17 09:14:48.297862,3358,sensor06-bend,0
2017-05-17 09:14:50.985718,2017-05-17 09:14:51.001028,3359,sensor06-bend,1
2017-05-17 09:16:48.258812,2017-05-17 09:16:48.266736,3364,sensor06-bend,0
2017-05-17 09:16:51.064037,2017-05-17 09:16:51.079239,3365,sensor06-bend,1
2017-05-17 09:18:48.736997,2017-05-17 09:18:48.765812,3370,sensor06-bend,0
2017-05-17 09:18:51.444043,2017-05-17 09:18:51.484563,3371,sensor06-bend,1
2017-05-17 09:20:49.718577,2017-05-17 09:20:49.741518,3376,sensor06-bend,0
2017-05-17 09:20:52.525952,2017-05-17 09:20:52.569602,3377,sensor06-bend,1
2017-05-17 09:22:49.698113,2017-05-17 09:22:49.719489,3382,sensor06-bend,0
2017-05-17 09:22:52.505531,2017-05-17 09:22:52.594447,3383,sensor06-bend,1
2017-05-17 09:24:50.785875,2017-05-17 09:24:50.797700,3388,sensor06-bend,0
2017-05-17 09:24:53.593179,2017-05-17 09:24:53.610197,3389,sensor06-bend,1
2017-05-17 09:26:51.965588,2017-05-17 09:26:52.016536,3394,sensor06-bend,0
2017-05-17 09:26:54.772417,2017-05-17 09:26:54.782124,3395,sensor06-bend,1
2017-05-17 09:28:51.947388,2017-05-17 09:28:51.997167,3400,sensor06-bend,0
2017-05-17 09:28:54.655165,2017-05-17 09:28:54.710991,3401,sensor06-bend,1
2017-05-17 09:30:51.941696,2017-05-17 09:30:51.956808,3406,sensor06-bend,0
2017-05-17 09:30:54.748197,2017-05-17 09:30:54.769309,3407,sensor06-bend,1
2017-05-17 09:32:53.233061,2017-05-17 09:32:53.269870,3412,sensor06-bend,0
2017-05-17 09:32:56.038322,2017-05-17 09:32:56.035497,3413,sensor06-bend,1
2017-05-17 09:34:53.812382,2017-05-17 09:34:53.848081,3418,sensor06-bend,0
2017-05-17 09:34:56.519118,2017-05-17 09:34:56.519959,3419,sensor06-bend,1
2017-05-17 09:42:54.017069,2017-05-17 09:42:54.023157,3428,sensor06-bend,0
2017-05-17 09:42:56.824356,2017-05-17 09:42:56.835659,3429,sensor06-bend,1
2017-05-17 09:44:15.403710,2017-05-17 09:44:15.398214,3432,sensor06-bend,0
2017-05-17 09:44:18.211402,2017-05-17 09:44:18.226342,3433,sensor06-bend,1
2017-05-17 09:54:48.984479,2017-05-17 09:54:49.023665,3438,sensor06-bend,0
2017-05-17 09:54:51.791843,2017-05-17 09:54:51.836168,3439,sensor06-bend,1
2017-05-17 10:14:12.021317,2017-05-17 10:14:12.055745,3444,sensor06-bend,0
